strike,lastPrice,tradeTime,StrikeIdentifier,lastPriceIndentifier,ContractDate
1.45,0.0001,05/27/21,P,,2021-07-01
1.5,0.0001,05/27/21,P,s,2021-07-01
1.55,0.0001,05/27/21,P,s,2021-07-01
1.6,0.0001,05/27/21,P,s,2021-07-01
1.65,0.0001,05/27/21,P,s,2021-07-01
1.7,0.0001,05/27/21,P,s,2021-07-01
1.75,0.0001,05/27/21,P,s,2021-07-01
1.8,0.0001,05/27/21,P,s,2021-07-01
1.85,0.0001,05/27/21,P,s,2021-07-01
1.9,0.0001,05/27/21,P,s,2021-07-01
1.95,0.0001,05/27/21,P,s,2021-07-01
2.0,0.9581,05/27/21,C,s,2021-07-01
2.0,0.0002,05/27/21,P,s,2021-07-01
2.05,0.0002,05/27/21,P,s,2021-07-01
2.1,0.001,05/28/21,P,,2021-07-01
2.14,0.0005,05/27/21,P,s,2021-07-01
2.15,0.0005,05/27/21,P,s,2021-07-01
2.2,0.0007,05/27/21,P,s,2021-07-01
2.25,0.709,05/27/21,C,s,2021-07-01
2.25,0.0009,05/28/21,P,s,2021-07-01
2.26,0.0011,05/27/21,P,s,2021-07-01
2.3,0.6594,05/27/21,C,s,2021-07-01
2.3,0.0014,05/27/21,P,s,2021-07-01
2.34,0.6198,05/27/21,C,s,2021-07-01
2.34,0.0019,05/27/21,P,s,2021-07-01
2.35,0.61,05/27/21,C,s,2021-07-01
2.35,0.002,05/27/21,P,s,2021-07-01
2.4,0.5607,05/27/21,C,s,2021-07-01
2.4,0.0027,05/27/21,P,s,2021-07-01
2.42,0.0031,05/27/21,P,s,2021-07-01
2.45,0.5117,05/27/21,C,s,2021-07-01
2.45,0.0029,05/28/21,P,s,2021-07-01
2.46,0.502,05/27/21,C,s,2021-07-01
2.46,0.0031,05/28/21,P,s,2021-07-01
2.48,0.4826,05/27/21,C,s,2021-07-01
2.48,0.0036,05/28/21,P,s,2021-07-01
2.5,0.4634,05/27/21,C,s,2021-07-01
2.5,0.0042,05/28/21,P,s,2021-07-01
2.51,0.0046,05/28/21,P,s,2021-07-01
2.53,0.4348,05/27/21,C,s,2021-07-01
2.53,0.0054,05/28/21,P,s,2021-07-01
2.55,0.4424,05/28/21,C,s,2021-07-01
2.55,0.0064,05/28/21,P,s,2021-07-01
2.6,0.3956,05/28/21,C,s,2021-07-01
2.6,0.0096,05/28/21,P,s,2021-07-01
2.63,0.3427,05/27/21,C,s,2021-07-01
2.63,0.0122,05/28/21,P,s,2021-07-01
2.65,0.3502,05/28/21,C,s,2021-07-01
2.65,0.0143,05/28/21,P,s,2021-07-01
2.7,0.3066,05/28/21,C,s,2021-07-01
2.7,0.014,17:46 CT,P,,2021-07-01
2.75,0.2652,05/28/21,C,s,2021-07-01
2.75,0.022,20:11 CT,P,,2021-07-01
2.78,0.219,05/27/21,C,s,2021-07-01
2.78,0.0355,05/28/21,P,s,2021-07-01
2.8,0.2262,05/28/21,C,s,2021-07-01
2.8,0.029,22:24 CT,P,,2021-07-01
2.82,0.19,05/27/21,C,s,2021-07-01
2.82,0.033,22:26 CT,P,,2021-07-01
2.85,0.1902,05/28/21,C,s,2021-07-01
2.85,0.0542,05/28/21,P,s,2021-07-01
2.87,0.1566,05/27/21,C,s,2021-07-01
2.87,0.0607,05/28/21,P,s,2021-07-01
