strike,highPrice,lowPrice,lastPrice,priceChange,bidPrice,askPrice,volume,openInterest,premium,tradeTime,StrikeIdentifier,lastPriceIndentifier,contractDate
1.4500,0.0001,0.0001,0.0001,unch,N/A,N/A,N/A,1,1.00,05/27/21,P,,Jul 1 2021
1.5000,0.0001,0.0001,0.0001,unch,N/A,N/A,N/A,328,1.00,05/27/21,P,s,Jul 1 2021
1.5500,0.0001,0.0001,0.0001,unch,N/A,N/A,N/A,154,1.00,05/27/21,P,s,Jul 1 2021
1.6000,0.0001,0.0001,0.0001,unch,N/A,N/A,N/A,1,1.00,05/27/21,P,s,Jul 1 2021
1.6500,0.0001,0.0001,0.0001,unch,N/A,N/A,N/A,1,1.00,05/27/21,P,s,Jul 1 2021
1.7000,0.0001,0.0001,0.0001,unch,N/A,N/A,N/A,1103,1.00,05/27/21,P,s,Jul 1 2021
1.7500,0.0001,0.0001,0.0001,unch,N/A,N/A,N/A,2454,1.00,05/27/21,P,s,Jul 1 2021
1.8000,0.0001,0.0001,0.0001,unch,N/A,N/A,N/A,1105,1.00,05/27/21,P,s,Jul 1 2021
1.8500,0.0001,0.0001,0.0001,unch,N/A,N/A,N/A,3,1.00,05/27/21,P,s,Jul 1 2021
1.9000,0.0001,0.0001,0.0001,-0.0001,N/A,N/A,N/A,1380,1.00,05/27/21,P,s,Jul 1 2021
1.9500,0.0001,0.0001,0.0001,-0.0002,N/A,N/A,N/A,152,1.00,05/27/21,P,s,Jul 1 2021
2.0000,0.9581,0.9581,0.9581,-0.0693,N/A,N/A,N/A,25,9581.00,05/27/21,C,s,Jul 1 2021
2.0000,0.0002,0.0002,0.0002,-0.0002,N/A,N/A,N/A,9649,2.00,05/27/21,P,s,Jul 1 2021
2.0500,0.0002,0.0002,0.0002,-0.0004,N/A,N/A,N/A,1086,2.00,05/27/21,P,s,Jul 1 2021
2.1000,0.0010,0.0010,0.0010,+0.0006,N/A,N/A,1,2659,10.00,05/28/21,P,,Jul 1 2021
2.1400,0.0005,0.0005,0.0005,-0.0004,N/A,N/A,N/A,238,5.00,05/27/21,P,s,Jul 1 2021
2.1500,0.0005,0.0005,0.0005,-0.0005,N/A,N/A,N/A,1185,5.00,05/27/21,P,s,Jul 1 2021
2.2000,0.0007,0.0007,0.0007,-0.0005,N/A,N/A,N/A,1640,7.00,05/27/21,P,s,Jul 1 2021
2.2500,0.7090,0.7090,0.7090,-0.0695,N/A,N/A,N/A,475,7090.00,05/27/21,C,s,Jul 1 2021
2.2500,0.0009,0.0009,0.0009,-0.0001,N/A,N/A,69,7835,9.00,05/28/21,P,s,Jul 1 2021
2.2600,0.0011,0.0011,0.0011,-0.0005,N/A,N/A,N/A,105,11.00,05/27/21,P,s,Jul 1 2021
2.3000,0.6594,0.6594,0.6594,-0.0696,N/A,N/A,N/A,100,6594.00,05/27/21,C,s,Jul 1 2021
2.3000,0.0014,0.0014,0.0014,-0.0006,N/A,N/A,N/A,798,14.00,05/27/21,P,s,Jul 1 2021
2.3400,0.6198,0.6198,0.6198,-0.0696,N/A,N/A,N/A,30,6198.00,05/27/21,C,s,Jul 1 2021
2.3400,0.0019,0.0019,0.0019,-0.0005,N/A,N/A,N/A,31,19.00,05/27/21,P,s,Jul 1 2021
2.3500,0.6100,0.5690,0.6100,-0.0695,N/A,N/A,N/A,20,6100.00,05/27/21,C,s,Jul 1 2021
2.3500,0.0020,0.0020,0.0020,-0.0005,N/A,N/A,7,2785,20.00,05/27/21,P,s,Jul 1 2021
2.4000,0.5607,0.5200,0.5607,-0.0695,N/A,N/A,N/A,200,5607.00,05/27/21,C,s,Jul 1 2021
2.4000,0.0027,0.0030,0.0027,-0.0005,N/A,N/A,N/A,2517,27.00,05/27/21,P,s,Jul 1 2021
2.4200,0.0040,0.0031,0.0031,-0.0004,0.0010,N/A,N/A,52,31.00,05/27/21,P,s,Jul 1 2021
2.4500,0.5117,0.4710,0.5117,-0.0694,N/A,N/A,N/A,24,5117.00,05/27/21,C,s,Jul 1 2021
2.4500,0.0029,0.0030,0.0029,-0.0008,0.0010,N/A,112,1037,29.00,05/28/21,P,s,Jul 1 2021
2.4600,0.5020,0.4620,0.5020,-0.0694,N/A,N/A,N/A,30,5020.00,05/27/21,C,s,Jul 1 2021
2.4600,0.0031,0.0030,0.0031,-0.0009,0.0010,N/A,N/A,3,31.00,05/28/21,P,s,Jul 1 2021
2.4800,0.4826,0.4430,0.4826,-0.0693,N/A,N/A,N/A,28,4826.00,05/27/21,C,s,Jul 1 2021
2.4800,0.0036,0.0030,0.0036,-0.0010,0.0010,0.0110,N/A,32,36.00,05/28/21,P,s,Jul 1 2021
2.5000,0.5110,0.4230,0.4634,-0.0692,N/A,N/A,1,2122,4634.00,05/27/21,C,s,Jul 1 2021
2.5000,0.0040,0.0040,0.0042,-0.0012,0.0020,0.0060,398,16132,42.00,05/28/21,P,s,Jul 1 2021
2.5100,0.0040,0.0040,0.0046,-0.0012,0.0020,N/A,1,144,46.00,05/28/21,P,s,Jul 1 2021
2.5300,0.4348,0.3960,0.4348,-0.0690,N/A,N/A,1,4,4348.00,05/27/21,C,s,Jul 1 2021
2.5300,0.0054,0.0050,0.0054,-0.0014,0.0020,N/A,N/A,33,54.00,05/28/21,P,s,Jul 1 2021
2.5500,0.4940,0.4424,0.4424,+0.0265,0.4800,0.4900,1,517,4424.00,05/28/21,C,s,Jul 1 2021
2.5500,0.0050,0.0050,0.0064,-0.0016,0.0030,0.0060,28,1641,64.00,05/28/21,P,s,Jul 1 2021
2.6000,0.4460,0.3956,0.3956,+0.0259,0.4330,0.4430,N/A,1296,3956.00,05/28/21,C,s,Jul 1 2021
2.6000,0.0100,0.0070,0.0096,-0.0021,0.0050,0.0080,720,6569,96.00,05/28/21,P,s,Jul 1 2021
