CALLS UPDATED,CALLS VOLUME,CALLS HIGH,CALL SLOW,CALLS PRIOR SETTLE,CALLS CHANGE,CALLS LAST,PUTS LAST,PUTS CHANGE,PUTS PRIOR SETTLE,PUTS LOW,PUTS HIGH,PUTS VOLUME,PUTS UPDATED,STRIKE PRICE,Date
16:00:00 CT 30 May 2021,0,-,-,0.8232,-,-,16:00:00 CT 30 May 2021,0,-,-,0.1505,-,-,2250.0,Feb 2027
16:00:00 CT 30 May 2021,0,-,-,0.6190,-,-,16:00:00 CT 30 May 2021,0,-,-,0.2807,-,-,2600.0,Feb 2027
16:00:00 CT 30 May 2021,0,-,-,0.6138,-,-,16:00:00 CT 30 May 2021,0,-,-,0.2851,-,-,2610.0,Feb 2027
16:00:00 CT 30 May 2021,0,-,-,0.2827,-,-,16:00:00 CT 30 May 2021,0,-,-,0.8044,-,-,3500.0,Feb 2027
16:00:00 CT 30 May 2021,0,-,-,0.0568,-,-,16:00:00 CT 30 May 2021,0,-,-,2.9195,-,-,5950.0,Feb 2027
16:00:00 CT 30 May 2021,0,-,-,0.0398,-,-,16:00:00 CT 30 May 2021,0,-,-,3.4281,-,-,6500.0,Feb 2027
16:00:00 CT 30 May 2021,0,-,-,0.0339,-,-,16:00:00 CT 30 May 2021,0,-,-,3.6610,-,-,6750.0,Feb 2027
16:00:00 CT 30 May 2021,0,-,-,0.7521,-,-,16:00:00 CT 30 May 2021,0,-,-,0.1787,-,-,2250.0,Jan 2027
16:00:00 CT 30 May 2021,0,-,-,0.6020,-,-,16:00:00 CT 30 May 2021,0,-,-,0.2871,-,-,2520.0,Jan 2027
16:00:00 CT 30 May 2021,0,-,-,0.5627,-,-,16:00:00 CT 30 May 2021,0,-,-,0.3244,-,-,2600.0,Jan 2027
16:00:00 CT 30 May 2021,0,-,-,0.4952,-,-,16:00:00 CT 30 May 2021,0,-,-,0.4005,-,-,2750.0,Jan 2027
16:00:00 CT 30 May 2021,0,-,-,0.3994,-,-,16:00:00 CT 30 May 2021,0,-,-,0.5439,-,-,3000.0,Jan 2027
16:00:00 CT 30 May 2021,0,-,-,0.3224,-,-,16:00:00 CT 30 May 2021,0,-,-,0.7062,-,-,3250.0,Jan 2027
16:00:00 CT 30 May 2021,0,-,-,0.2616,-,-,16:00:00 CT 30 May 2021,0,-,-,0.8848,-,-,3500.0,Jan 2027
16:00:00 CT 30 May 2021,0,-,-,0.1813,-,-,16:00:00 CT 30 May 2021,0,-,-,1.2830,-,-,4000.0,Jan 2027
16:00:00 CT 30 May 2021,0,-,-,0.1076,-,-,16:00:00 CT 30 May 2021,0,-,-,2.1665,-,-,5000.0,Jan 2027
16:00:00 CT 30 May 2021,0,-,-,0.0773,-,-,16:00:00 CT 30 May 2021,0,-,-,2.8062,-,-,5700.0,Jan 2027
16:00:00 CT 30 May 2021,0,-,-,0.0668,-,-,16:00:00 CT 30 May 2021,0,-,-,3.0829,-,-,6000.0,Jan 2027
16:00:00 CT 30 May 2021,0,-,-,0.0520,-,-,16:00:00 CT 30 May 2021,0,-,-,3.5467,-,-,6500.0,Jan 2027
16:00:00 CT 30 May 2021,0,-,-,0.0453,-,-,16:00:00 CT 30 May 2021,0,-,-,3.7793,-,-,6750.0,Jan 2027
16:00:00 CT 30 May 2021,0,-,-,0.6020,-,-,16:00:00 CT 30 May 2021,0,-,-,0.2262,-,-,2250.0,Dec 2026
16:00:00 CT 30 May 2021,0,-,-,0.5448,-,-,16:00:00 CT 30 May 2021,0,-,-,0.2745,-,-,2360.0,Dec 2026
16:00:00 CT 30 May 2021,0,-,-,0.4363,-,-,16:00:00 CT 30 May 2021,0,-,-,0.3960,-,-,2600.0,Dec 2026
16:00:00 CT 30 May 2021,0,-,-,0.3791,-,-,16:00:00 CT 30 May 2021,0,-,-,0.4827,-,-,2750.0,Dec 2026
16:00:00 CT 30 May 2021,0,-,-,0.3002,-,-,16:00:00 CT 30 May 2021,0,-,-,0.6434,-,-,3000.0,Dec 2026
16:00:00 CT 30 May 2021,0,-,-,0.2392,-,-,16:00:00 CT 30 May 2021,0,-,-,0.8220,-,-,3250.0,Dec 2026
16:00:00 CT 30 May 2021,0,-,-,0.1940,-,-,16:00:00 CT 30 May 2021,0,-,-,1.0164,-,-,3500.0,Dec 2026
16:00:00 CT 30 May 2021,0,-,-,0.1364,-,-,16:00:00 CT 30 May 2021,0,-,-,1.4381,-,-,4000.0,Dec 2026
16:00:00 CT 30 May 2021,0,-,-,0.0820,-,-,16:00:00 CT 30 May 2021,0,-,-,2.3422,-,-,5000.0,Dec 2026
16:00:00 CT 30 May 2021,0,-,-,0.0660,-,-,16:00:00 CT 30 May 2021,0,-,-,2.7097,-,-,5400.0,Dec 2026
16:00:00 CT 30 May 2021,0,-,-,0.0476,-,-,16:00:00 CT 30 May 2021,0,-,-,3.2664,-,-,6000.0,Dec 2026
16:00:00 CT 30 May 2021,0,-,-,0.0349,-,-,16:00:00 CT 30 May 2021,0,-,-,3.7330,-,-,6500.0,Dec 2026
16:00:00 CT 30 May 2021,0,-,-,0.0299,-,-,16:00:00 CT 30 May 2021,0,-,-,3.9675,-,-,6750.0,Dec 2026
16:00:00 CT 30 May 2021,0,-,-,0.5314,-,-,16:00:00 CT 30 May 2021,0,-,-,0.2521,-,-,2250.0,Nov 2026
16:00:00 CT 30 May 2021,0,-,-,0.5164,-,-,16:00:00 CT 30 May 2021,0,-,-,0.2658,-,-,2280.0,Nov 2026
16:00:00 CT 30 May 2021,0,-,-,0.3785,-,-,16:00:00 CT 30 May 2021,0,-,-,0.4352,-,-,2600.0,Nov 2026
16:00:00 CT 30 May 2021,0,-,-,0.3278,-,-,16:00:00 CT 30 May 2021,0,-,-,0.5285,-,-,2750.0,Nov 2026
16:00:00 CT 30 May 2021,0,-,-,0.2595,-,-,16:00:00 CT 30 May 2021,0,-,-,0.7001,-,-,3000.0,Nov 2026
16:00:00 CT 30 May 2021,0,-,-,0.2077,-,-,16:00:00 CT 30 May 2021,0,-,-,0.8884,-,-,3250.0,Nov 2026
16:00:00 CT 30 May 2021,0,-,-,0.1685,-,-,16:00:00 CT 30 May 2021,0,-,-,1.0892,-,-,3500.0,Nov 2026
16:00:00 CT 30 May 2021,0,-,-,0.1155,-,-,16:00:00 CT 30 May 2021,0,-,-,1.5163,-,-,4000.0,Nov 2026
16:00:00 CT 30 May 2021,0,-,-,0.0635,-,-,16:00:00 CT 30 May 2021,0,-,-,2.4243,-,-,5000.0,Nov 2026
16:00:00 CT 30 May 2021,0,-,-,0.0565,-,-,16:00:00 CT 30 May 2021,0,-,-,2.6574,-,-,5250.0,Nov 2026
16:00:00 CT 30 May 2021,0,-,-,0.0407,-,-,16:00:00 CT 30 May 2021,0,-,-,3.3616,-,-,6000.0,Nov 2026
16:00:00 CT 30 May 2021,0,-,-,0.0324,-,-,16:00:00 CT 30 May 2021,0,-,-,3.8333,-,-,6500.0,Nov 2026
16:00:00 CT 30 May 2021,0,-,-,0.0291,-,-,16:00:00 CT 30 May 2021,0,-,-,4.0700,-,-,6750.0,Nov 2026
16:00:00 CT 30 May 2021,0,-,-,0.5091,-,-,16:00:00 CT 30 May 2021,0,-,-,0.2591,-,-,2250.0,Oct 2026
16:00:00 CT 30 May 2021,0,-,-,0.5042,-,-,16:00:00 CT 30 May 2021,0,-,-,0.2638,-,-,2260.0,Oct 2026
16:00:00 CT 30 May 2021,0,-,-,0.3600,-,-,16:00:00 CT 30 May 2021,0,-,-,0.4465,-,-,2600.0,Oct 2026
16:00:00 CT 30 May 2021,0,-,-,0.3109,-,-,16:00:00 CT 30 May 2021,0,-,-,0.5417,-,-,2750.0,Oct 2026
16:00:00 CT 30 May 2021,0,-,-,0.2452,-,-,16:00:00 CT 30 May 2021,0,-,-,0.7163,-,-,3000.0,Oct 2026
16:00:00 CT 30 May 2021,0,-,-,0.1957,-,-,16:00:00 CT 30 May 2021,0,-,-,0.9072,-,-,3250.0,Oct 2026
16:00:00 CT 30 May 2021,0,-,-,0.1584,-,-,16:00:00 CT 30 May 2021,0,-,-,1.1103,-,-,3500.0,Oct 2026
16:00:00 CT 30 May 2021,0,-,-,0.1083,-,-,16:00:00 CT 30 May 2021,0,-,-,1.5409,-,-,4000.0,Oct 2026
16:00:00 CT 30 May 2021,0,-,-,0.0596,-,-,16:00:00 CT 30 May 2021,0,-,-,2.4537,-,-,5000.0,Oct 2026
16:00:00 CT 30 May 2021,0,-,-,0.0543,-,-,16:00:00 CT 30 May 2021,0,-,-,2.6407,-,-,5200.0,Oct 2026
16:00:00 CT 30 May 2021,0,-,-,0.0377,-,-,16:00:00 CT 30 May 2021,0,-,-,3.3933,-,-,6000.0,Oct 2026
16:00:00 CT 30 May 2021,0,-,-,0.0299,-,-,16:00:00 CT 30 May 2021,0,-,-,3.8663,-,-,6500.0,Oct 2026
16:00:00 CT 30 May 2021,0,-,-,0.0269,-,-,16:00:00 CT 30 May 2021,0,-,-,4.1036,-,-,6750.0,Oct 2026
16:00:00 CT 30 May 2021,0,-,-,0.5095,-,-,16:00:00 CT 30 May 2021,0,-,-,0.2563,-,-,2250.0,Sep 2026
16:00:00 CT 30 May 2021,0,-,-,0.5045,-,-,16:00:00 CT 30 May 2021,0,-,-,0.2609,-,-,2260.0,Sep 2026
16:00:00 CT 30 May 2021,0,-,-,0.3594,-,-,16:00:00 CT 30 May 2021,0,-,-,0.4432,-,-,2600.0,Sep 2026
